POINT_X,POINT_Y,NEIGHBORHOOD,ZIP,shape_wkt
-71.12426882999995,42.25647288900007,Hyde Park,2136,POINT (-71.124268829999949 42.256472889000065)
-71.14836713799997,42.28677693700007,West Roxbury,2132,POINT (-71.148367137999969 42.28677693700007)
-71.02813497799997,42.38149651100008,East Boston,2128,POINT (-71.028134977999969 42.38149651100008)
-71.06030667599998,42.36181645100004,Boston,2114,POINT (-71.060306675999982 42.361816451000038)
-71.15057769799995,42.34938584300005,Brighton,2135,POINT (-71.15057769799995 42.34938584300005)
-71.05604653999995,42.376457980000055,Charlestown,2129,POINT (-71.056046539999954 42.376457980000055)
-71.05493569699996,42.34115537100007,South Boston,2127,POINT (-71.054935696999962 42.34115537100007)
-71.06923916399995,42.33943100400006,Boston,2118,POINT (-71.069239163999953 42.339431004000062)
-71.09074691999996,42.33418366300003,Roxbury,2120,POINT (-71.090746919999958 42.334183663000033)
-71.08568375099998,42.32837672300008,Roxbury,2119,POINT (-71.085683750999976 42.328376723000076)
-71.10463861399995,42.30971378300006,Jamaica Plain,2130,POINT (-71.104638613999953 42.309713783000063)
-71.09170139399998,42.284720271000026,Mattapan,2124,POINT (-71.091701393999983 42.284720271000026)
-71.05916433299996,42.29805684300004,Dorchester,2122,POINT (-71.059164332999956 42.29805684300004)
